ID,category,name,country,birth_year,dead_or_alive,Died,gender,Major teams
1175421,Cricket,Varun Nayanar,India,2002,Alive,,Male,India Under-19s
33092,Cricket,Vasant Ranjane,India,1937,Dead,"December 22, 2011, Ruby Hall Clinic, Pune (aged 74 years 153 days) ",Male,"['India,', 'Maharashtra,', 'Railways']"
33846,Cricket,Vasanth Saravanan,India,1978,Alive,,Male,"['Assam,', 'Chennai Superstars,', 'Chepauk Super Gillies,', 'Goa,', 'ICL India XI,', 'India Under-19s,', 'Ruby Trichy Warriors,', 'Tamil Nadu']"
1175422,Cricket,Vathsal Sharma,India,2000,Alive,,Male,India Under-19s
442205,Cricket,Veda Krishnamurthy,India,1992,Alive,,Female,"['India Blue Women,', 'India Women,', 'Karnataka Women']"
591358,Cricket,Velayudhan Vilasini,India,1980,Alive,,Female,India B Women
372242,Cricket,Vellaswamy Vanitha,India,1990,Alive,,Female,"['India Senior Women,', 'India Women']"
31045,Cricket,Venatappa Muddiah,India,1929,Dead,"October 1, 2009, Bangalore (aged 80 years 115 days) ",Male,"['India,', 'Hyderabad (India),', 'Mysore,', 'Services']"
54258,Cricket,Venkatacher Kalpana,India,1961,Alive,,Female,"['Air India Women,', 'India Women']"
33044,Cricket,Venkatapathy Raju,India,1969,Alive,,Male,"['India,', 'Hyderabad (India)']"
34215,Cricket,Venkataraman Subramanya,India,1936,Alive,,Male,"['India,', 'Mysore']"
597813,Cricket,Venkatasubramani Swetha,India,1993,Alive,,Female,India Green Women
32345,Cricket,Venkatesh Prasad,India,1969,Alive,,Male,"['India,', 'Karnataka']"
35872,Cricket,Venkatesh Rao,India,1939,Alive,,Male,Hyderabad (India)
33449,Cricket,Venkatraman Ramnarayan,India,1947,Alive,,Male,Hyderabad (India)
35805,Cricket,Venugopal Rao,India,1982,Alive,,Male,"['India,', 'Andhra,', 'Deccan Chargers,', 'Delhi Daredevils,', 'Gujarat,', 'India A,', ""Indian Board President's XI,"", 'Madras Rubber Factory,', ""Rajasthan Cricket Association President's XI,"", 'Sunrisers Hyderabad']"
